Accident_Index,Accident Date,Day_of_Week,Junction_Control,Junction_Detail,Accident_Severity,Latitude,Light_Conditions,Local_Authority_(District),Longitude,Number_of_Casualties,Number_of_Vehicles,Police_Force,Road_Surface_Conditions,Road_Type,Speed_limit,Time,Urban_or_Rural_Area,Vehicle_Type,Date,DayLengthHours,MaxTemperature,MaxWindSpeed,MinTemperature,SolarRadiation,TotalPrecipitation
132b02e7-ef77-4388-a910-4d2259c96e42,2021-06-01,1,3,6,1,51.360414,2,Thanet,1.395073,1,1,Kent,1,5,30,2024-12-10T17:05:00.000+01:00,1,2,2021-06-01,16.3,19.9,23.6,12.4,29.64,0.0
200920E008803,2021-01-14,3,2,1,1,52.46286,1,Birmingham,-1.887075,1,2,West Midlands,2,4,40,2024-12-10T17:14:00.000+01:00,1,2,2021-01-14,8.166666666666666,8.2,16.0,0.8,0.74,11.6
200920D177103,2021-07-22,3,3,6,3,52.498658,2,Birmingham,-1.77341,1,1,West Midlands,1,2,30,2024-12-10T20:10:00.000+01:00,1,2,2021-07-22,16.033333333333335,27.9,10.4,15.4,23.59,0.2
0be814f4-fd0f-4e62-8f5f-b0325bbc7dbd,2022-02-24,3,3,6,1,53.795663,0,Bradford,-1.802003,1,3,West Yorkshire,1,2,30,2024-12-10T18:15:00.000+01:00,1,2,2022-02-24,10.45,4.6,36.1,2.0,7.06,4.6
047f1b60-3aab-4214-bd36-50c22b37ad3b,2021-05-07,4,1,3,1,50.945826,2,Test Valley,-1.462045,2,2,Hampshire,1,2,30,2024-12-10T11:20:00.000+01:00,1,2,2021-05-07,15.133333333333333,12.3,18.4,2.2,20.51,0.1
201032D342810,2022-11-09,2,3,6,2,53.064155,2,North Kesteven,-0.459731,1,1,Lincolnshire,2,2,60,2024-12-10T14:50:00.000+01:00,0,2,2022-11-09,9.016666666666667,12.7,28.0,9.0,5.44,0.1
200901VK30104,2021-04-16,4,2,1,1,51.386694,2,Kingston upon Thames,-0.300992,1,2,Metropolitan Police,1,4,30,2024-12-10T08:20:00.000+01:00,1,2,2021-04-16,13.95,9.8,11.7,-1.7,15.57,0.0
a05a9cf9-c7db-4cd8-a52d-0dfd6e3b568f,2022-01-12,2,3,6,1,51.622282,2,Swansea,-4.018049,1,3,South Wales,3,2,30,2024-12-10T16:00:00.000+01:00,1,2,2022-01-12,8.233333333333333,7.3,9.2,-1.2,4.46,0.0
201060L130221,2022-07-17,6,3,6,1,53.264106,2,Isle of Anglesey,-4.088681,1,1,North Wales,1,2,30,2024-12-10T16:58:00.000+01:00,0,2,2022-07-17,16.4,27.5,24.3,15.5,25.2,0.0
4c60826f-f43d-4dd6-b004-8f5e4ea7d6bf,2022-02-02,2,3,6,1,52.547018,0,Rutland,-0.724045,2,1,Leicestershire,2,2,60,2024-12-10T01:25:00.000+01:00,0,2,2022-02-02,9.133333333333333,10.8,31.3,6.7,3.69,0.1
